127.0.0.1 - - [03/Dec/2021:21:53:30 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/js/custom.js;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/js/templatemo.js;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/js/jquery-migrate-1.2.1.min.js;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/js/fade-in.js;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/js/bootstrap.bundle.min.js;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 80821
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/img/oneyo_logo.PNG;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 12954
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/img/Ghost_Emoji.png;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 144719
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/img/%EB%B2%84%EC%84%AF%EC%86%8C%EB%B6%88%EA%B3%A0%EA%B8%B0.png;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 733656
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/img/%EC%B0%B9%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC.png;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 826461
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/img/%EC%9D%B4%EC%9E%90%EC%B9%B4%EC%95%BC%EC%96%B4%EB%AC%B5%ED%83%95.png;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 1253546
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/img/%ED%86%A0%EB%A7%88%ED%86%A0%EC%B9%B4%EB%A0%88.png;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 863789
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/img/%EC%86%8C%EA%B3%A0%EA%B8%B0%EC%8A%A4%ED%82%A4%EC%95%BC%ED%82%A4.png;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 1396262
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/img/donuts.jpg;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 30667
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/img/%EC%97%AC%EC%9A%B03.png;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 687935
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/webfonts/fa-brands-400.woff2 HTTP/1.1" 200 78460
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/img/Lemongrab.png;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 156262
0:0:0:0:0:0:0:1 - - [03/Dec/2021:21:54:54 +0900] "GET /project-oneyo/assets/img/oneyo_fav.ico;jsessionid=87B6BC2BDAB7577DF514A7F91FF6C706 HTTP/1.1" 200 9662
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/home HTTP/1.1" 200 17669
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/css/bootstrap.min.css HTTP/1.1" 200 154250
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/css/templatemo.css HTTP/1.1" 200 5445
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/css/fontawesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/css/mystyle.css HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/js/jquery-1.11.0.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/js/custom.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/js/templatemo.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/js/bootstrap.bundle.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/js/fade-in.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/img/oneyo_logo.PNG HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/img/%EC%9D%B4%EC%9E%90%EC%B9%B4%EC%95%BC%EC%96%B4%EB%AC%B5%ED%83%95.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/img/%EC%86%8C%EA%B3%A0%EA%B8%B0%EC%8A%A4%ED%82%A4%EC%95%BC%ED%82%A4.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/img/%EB%B2%84%EC%84%AF%EC%86%8C%EB%B6%88%EA%B3%A0%EA%B8%B0.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/img/%ED%86%A0%EB%A7%88%ED%86%A0%EC%B9%B4%EB%A0%88.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/img/%EC%B0%B9%EC%8A%A4%ED%85%8C%EC%9D%B4%ED%81%AC.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/img/Ghost_Emoji.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/img/donuts.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/img/%EC%97%AC%EC%9A%B03.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/img/Lemongrab.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:36 +0900] "GET /project-oneyo/assets/img/oneyo_fav.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:11:37 +0900] "GET /project-oneyo/home HTTP/1.1" 200 17669
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:12:41 +0900] "GET /project-oneyo/home HTTP/1.1" 200 17253
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:13:37 +0900] "GET /project-oneyo/home HTTP/1.1" 200 16446
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:14:01 +0900] "GET /project-oneyo/home HTTP/1.1" 200 16156
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:14:06 +0900] "GET /project-oneyo/mealkit/list HTTP/1.1" 200 34246
0:0:0:0:0:0:0:1 - - [03/Dec/2021:22:14:06 +0900] "GET /project-oneyo/assets/img/%ED%86%A0%EB%A7%88%ED%86%A0%EC%8A%A4%ED%8A%9C.png HTTP/1.1" 304 -
