127.0.0.1 - - [28/Nov/2021:15:13:23 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:54 +0900] "GET /project-oneyo/ HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/home HTTP/1.1" 200 16366
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/css/bootstrap.min.css HTTP/1.1" 200 153111
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/css/templatemo.css HTTP/1.1" 200 5463
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/css/custom.css HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/css/style.css HTTP/1.1" 200 151
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/css/mystyle.css HTTP/1.1" 200 948
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/css/fontawesome.min.css HTTP/1.1" 200 59356
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/js/jquery-1.11.0.min.js HTTP/1.1" 200 96381
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/js/jquery-migrate-1.2.1.min.js HTTP/1.1" 200 7199
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/js/templatemo.js HTTP/1.1" 200 1501
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/js/custom.js HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/js/bootstrap.bundle.min.js HTTP/1.1" 200 80821
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/js/fade-in.js HTTP/1.1" 200 780
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/img/oneyo_logo.PNG HTTP/1.1" 200 12954
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/img/mk2.png HTTP/1.1" 200 503300
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/img/mk3.png HTTP/1.1" 200 576127
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/img/%EB%B0%80%ED%91%80%EC%9C%A0%EB%82%98%EB%B2%A0.jpg HTTP/1.1" 200 268379
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/img/%EA%B0%90%EB%B0%94%EC%8A%A4%EC%95%8C%EC%95%84%ED%9E%88%EC%9A%94.jpg HTTP/1.1" 200 275674
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/img/%EC%A7%81%ED%99%94%20%EB%B6%88%EA%B3%A0%EA%B8%B0%20%EB%96%A1%EB%B3%B6%EC%9D%B4.jpg HTTP/1.1" 200 289408
0:0:0:0:0:0:0:1 - - [28/Nov/2021:15:13:55 +0900] "GET /project-oneyo/assets/img/%EC%96%91%EC%9E%A5%ED%94%BC.jpg HTTP/1.1" 200 262360
